Skip, Ace Well ID, Ace Well Number, Ace Lease Name, Seneca Well Name, API Number, Seneca Well ID
1,,,,1,04029053630000,558
0,2151,10-10,15a,10-10,04029768900000,377
0,2152,10-10A,15a,10-10A,04029821260000,281
0,2153,10-10AR,15a,10-10AR,04030230230000,1029
0,2154,10-10R,15a,10-10R,04030230240000,1030
0,2155,10-1A,15a,10-1A,04029843380000,101
0,2156,10-1N,15a,10-1N,04029843400000,97
0,2157,10-2R,15a,10-2R,04030212460000,99
0,2158,10-3,15a,10-3,04029843370000,110
0,2159,10-4,15a,10-4,04029875300000,344
0,2160,10-5A,15a,10-5A,04029739710000,292
0,2161,10-5B,15a,10-5B,04029843390000,374
0,2162,10-6,15a,10-6,04029732920000,313
0,2163,10-6A,15a,10-6A,04029739700000,243
1,,,,10-6AW,04029729970000,5075
0,2164,10-6R,15a,10-6R,04030321950000,5147
0,2165,10-6W,15a,10-6W,04029729960000,375
0,2166,10-7,15a,10-7,04029768870000,393
0,2167,10-8,15a,10-8,04029526270000,300
0,2168,10-8A,15a,10-8A,04029768880000,389
0,2169,10-8AR,15a,10-8AR,04030346980000,5502
0,2170,10-9,15a,10-9,04029514740000,307
0,2171,10-9A,15a,10-9A,04029768890000,346
1,,,,100,04029054590000,620
1,,,,101,04029054600000,334
1,,,,102,04029054610000,621
1,,,,103,04029054620000,622
1,,,,104,04029054630000,623
1,,,,106,04029054650000,624
1,,,,107,04029431530000,89
1,,,,108,04029431540000,107
1,,,,109,04029431550000,91
1,,,,11,04029053710000,560
1,,,,11 1,04019018560000,7513
1,,,,11 1-10,04019018580000,7515
1,,,,11 1-7,04019018570000,7514
1,,,,11 10,04019018760000,7531
1,,,,11 100,04019019270000,7571
1,,,,11 1007,04019244540000,7736
1,,,,11 101,04019254320000,8087
1,,,,11 101 P&A,04019019280000,7572
1,,,,11 102,04019019290000,7573
1,,,,11 103,04019019300000,7574
1,,,,11 105,04019019310000,7575
1,,,,11 106 P&A,04019019320000,7576
1,,,,11 107WD,04019019330000,7577
1,,,,11 108,04019019340000,7578
1,,,,11 109,04019019350000,7579
1,,,,11 11,04019018770000,7532
1,,,,11 110,04019019360000,7580
1,,,,11 112,04019019370000,7581
1,,,,11 113,04019019380000,7582
1,,,,11 114,04019019390000,7583
1,,,,11 115,04019019400000,7584
1,,,,11 117,04019019420000,7585
1,,,,11 118,04019020100000,7023
1,,,,11 119,04019019430000,7586
1,,,,11 12,04019018780000,7533
1,,,,11 120,04019019440000,6963
1,,,,11 121,04019019450000,6964
1,,,,11 122,04019019460000,6965
1,,,,11 123,04019019470000,6966
1,,,,11 124,04019019480000,6967
1,,,,11 125,04019019490000,6968
1,,,,11 126,04019019500000,6969
1,,,,11 127,04019019530000,6970
1,,,,11 128,04019019540000,6971
1,,,,11 129,04019019550000,6972
1,,,,11 13,04019018790000,7534
1,,,,11 130,04019019560000,6973
1,,,,11 131,04019019570000,6974
1,,,,11 132 P&A,04019019580000,6975
1,,,,11 133,04019019590000,6976
1,,,,11 134,04019019600000,6977
1,,,,11 135,04019019610000,6978
1,,,,11 136,04019019620000,6979
1,,,,11 137,04019019630000,6980
1,,,,11 138,04019019640000,6981
1,,,,11 139,04019019650000,6982
1,,,,11 14,04019018800000,7535
1,,,,11 140,04019019660000,6983
1,,,,11 141,04019019670000,6984
1,,,,11 142,04019019680000,6985
1,,,,11 143,04019019690000,6986
1,,,,11 144,04019019700000,6987
1,,,,11 145,04019019710000,6988
1,,,,11 146,04019019720000,6989
1,,,,11 147,04019019730000,6990
1,,,,11 148,04019019740000,6991
1,,,,11 149,04019019750000,6992
1,,,,11 15,04019018810000,7536
1,,,,11 150,04019019760000,6993
1,,,,11 151,04019019770000,6994
1,,,,11 152,04019019780000,6995
1,,,,11 153,04019019790000,6996
1,,,,11 154,04019019800000,6997
1,,,,11 155,04019019810000,6998
1,,,,11 16,04019018820000,7537
1,,,,11 161,04019019830000,6999
1,,,,11 163,04019019850000,7000
1,,,,11 18,04019018840000,7538
1,,,,11 2-10 P&A,04019201270000,7797
1,,,,11 2-2,04019018600000,7516
1,,,,11 2-3,04019018610000,7517
1,,,,11 2-5,04019018620000,7518
1,,,,11 2-6 P&A,04019018630000,7519
1,,,,11 2-7,04019018640000,7520
1,,,,11 2-8,04019018650000,7521
1,,,,11 2-9,04019202930000,7802
1,,,,11 2004,04019244480000,7735
1,,,,11 202,04019019870000,7001
1,,,,11 204,04019019880000,7002
1,,,,11 205,04019019890000,7003
1,,,,11 207,04019019900000,7004
1,,,,11 208,04019019910000,7005
1,,,,11 2102,04019020070000,7020
1,,,,11 2109,04019020080000,7021
1,,,,11 211,04019020090000,7022
1,,,,11 212,04019019920000,7006
1,,,,11 2136,04019205830000,7814
1,,,,11 216,04019019930000,7007
1,,,,11 217,04019019940000,7008
1,,,,11 218 P&A,04019019950000,7009
1,,,,11 2236,04019206660000,7670
1,,,,11 236,04019019960000,7010
1,,,,11 238,04019019970000,7011
1,,,,11 239,04019019980000,7012
1,,,,11 240,04019019990000,7013
1,,,,11 243,04019020000000,7014
1,,,,11 248,04019020010000,7015
1,,,,11 249,04019020020000,7016
1,,,,11 252,04019020030000,7017
1,,,,11 253,04019020040000,7018
1,,,,11 294,04019020060000,7019
1,,,,11 3,04019018660000,7522
1,,,,11 3-1,04019018670000,7523
1,,,,11 3-2 P&A,04019202940000,7803
1,,,,11 3-3,04019201280000,7798
1,,,,11 3-5,04019018680000,7524
1,,,,11 3-6,04019018690000,7525
1,,,,11 3-7,04019018700000,7526
1,,,,11 35,04019018850000,7539
1,,,,11 36,04019018860000,7540
1,,,,11 37,04019018870000,7541
1,,,,11 4,04019018710000,7527
1,,,,11 41,04019018910000,7542
1,,,,11 42,04019018920000,7543
1,,,,11 43,04019018930000,7544
1,,,,11 44,04019018940000,7545
1,,,,11 45,04019018950000,7546
1,,,,11 47,04019018960000,7547
1,,,,11 48,04019018970000,7548
1,,,,11 49,04019018980000,7549
1,,,,11 5,04019018720000,7528
1,,,,11 50,04019018990000,7550
1,,,,11 51,04019019000000,7551
