Skip,Ace Well ID,Ace Well Number,Ace Lease Name,Seneca Well Name, API Number, Seneca Well ID
0,0,,,1,04029053630000,558
0,0,,,10-10,04029768900000,377
0,0,,,10-10A,04029821260000,281
0,0,,,10-10AR,04030230230000,1029
0,0,,,10-10R,04030230240000,1030
0,0,,,10-1A,04029843380000,101
0,0,,,10-1N,04029843400000,97
0,0,,,10-2R,04030212460000,99
0,0,,,10-3,04029843370000,110
0,0,,,10-4,04029875300000,344
0,0,,,10-5A,04029739710000,292
0,0,,,10-5B,04029843390000,374
0,0,,,10-6,04029732920000,313
0,0,,,10-6A,04029739700000,243
0,0,,,10-6AW,04029729970000,5075
0,0,,,10-6R,04030321950000,5147
0,0,,,10-6W,04029729960000,375
0,0,,,10-7,04029768870000,393
0,0,,,10-8,04029526270000,300
0,0,,,10-8A,04029768880000,389
0,0,,,10-8AR,04030346980000,5502
0,0,,,10-9,04029514740000,307
0,0,,,10-9A,04029768890000,346
0,0,,,100,04029054590000,620
0,0,,,101,04029054600000,334
0,0,,,102,04029054610000,621
0,0,,,103,04029054620000,622
0,0,,,104,04029054630000,623
0,0,,,106,04029054650000,624
0,0,,,107,04029431530000,89
0,0,,,108,04029431540000,107
0,0,,,109,04029431550000,91
0,0,,,11,04029053710000,560
0,0,,,11 1,04019018560000,7513
0,0,,,11 1-10,04019018580000,7515
0,0,,,11 1-7,04019018570000,7514
0,0,,,11 10,04019018760000,7531
0,0,,,11 100,04019019270000,7571
0,0,,,11 1007,04019244540000,7736
0,0,,,11 101,04019254320000,8087
0,0,,,11 101 P&A,04019019280000,7572
0,0,,,11 102,04019019290000,7573
0,0,,,11 103,04019019300000,7574
0,0,,,11 105,04019019310000,7575
0,0,,,11 106 P&A,04019019320000,7576
0,0,,,11 107WD,04019019330000,7577
0,0,,,11 108,04019019340000,7578
0,0,,,11 109,04019019350000,7579
0,0,,,11 11,04019018770000,7532
0,0,,,11 110,04019019360000,7580
0,0,,,11 112,04019019370000,7581
0,0,,,11 113,04019019380000,7582
0,0,,,11 114,04019019390000,7583
0,0,,,11 115,04019019400000,7584
0,0,,,11 117,04019019420000,7585
0,0,,,11 118,04019020100000,7023
0,0,,,11 119,04019019430000,7586
0,0,,,11 12,04019018780000,7533
0,0,,,11 120,04019019440000,6963
0,0,,,11 121,04019019450000,6964
0,0,,,11 122,04019019460000,6965
0,0,,,11 123,04019019470000,6966
0,0,,,11 124,04019019480000,6967
0,0,,,11 125,04019019490000,6968
0,0,,,11 126,04019019500000,6969
0,0,,,11 127,04019019530000,6970
0,0,,,11 128,04019019540000,6971
0,0,,,11 129,04019019550000,6972
0,0,,,11 13,04019018790000,7534
0,0,,,11 130,04019019560000,6973
0,0,,,11 131,04019019570000,6974
0,0,,,11 132 P&A,04019019580000,6975
0,0,,,11 133,04019019590000,6976
0,0,,,11 134,04019019600000,6977
0,0,,,11 135,04019019610000,6978
0,0,,,11 136,04019019620000,6979
0,0,,,11 137,04019019630000,6980
0,0,,,11 138,04019019640000,6981
0,0,,,11 139,04019019650000,6982
0,0,,,11 14,04019018800000,7535
0,0,,,11 140,04019019660000,6983
0,0,,,11 141,04019019670000,6984
0,0,,,11 142,04019019680000,6985
0,0,,,11 143,04019019690000,6986
0,0,,,11 144,04019019700000,6987
0,0,,,11 145,04019019710000,6988
0,0,,,11 146,04019019720000,6989
0,0,,,11 147,04019019730000,6990
0,0,,,11 148,04019019740000,6991
0,0,,,11 149,04019019750000,6992
0,0,,,11 15,04019018810000,7536
0,0,,,11 150,04019019760000,6993
0,0,,,11 151,04019019770000,6994
0,0,,,11 152,04019019780000,6995
0,0,,,11 153,04019019790000,6996
0,0,,,11 154,04019019800000,6997
0,0,,,11 155,04019019810000,6998
0,0,,,11 16,04019018820000,7537
0,0,,,11 161,04019019830000,6999
0,0,,,11 163,04019019850000,7000
0,0,,,11 18,04019018840000,7538
0,0,,,11 2-10 P&A,04019201270000,7797
0,0,,,11 2-2,04019018600000,7516
0,0,,,11 2-3,04019018610000,7517
0,0,,,11 2-5,04019018620000,7518
0,0,,,11 2-6 P&A,04019018630000,7519
0,0,,,11 2-7,04019018640000,7520
0,0,,,11 2-8,04019018650000,7521
0,0,,,11 2-9,04019202930000,7802
0,0,,,11 2004,04019244480000,7735
0,0,,,11 202,04019019870000,7001
0,0,,,11 204,04019019880000,7002
0,0,,,11 205,04019019890000,7003
0,0,,,11 207,04019019900000,7004
0,0,,,11 208,04019019910000,7005
0,0,,,11 2102,04019020070000,7020
0,0,,,11 2109,04019020080000,7021
0,0,,,11 211,04019020090000,7022
0,0,,,11 212,04019019920000,7006
0,0,,,11 2136,04019205830000,7814
0,0,,,11 216,04019019930000,7007
0,0,,,11 217,04019019940000,7008
0,0,,,11 218 P&A,04019019950000,7009
0,0,,,11 2236,04019206660000,7670
0,0,,,11 236,04019019960000,7010
0,0,,,11 238,04019019970000,7011
0,0,,,11 239,04019019980000,7012
0,0,,,11 240,04019019990000,7013
0,0,,,11 243,04019020000000,7014
0,0,,,11 248,04019020010000,7015
0,0,,,11 249,04019020020000,7016
0,0,,,11 252,04019020030000,7017
0,0,,,11 253,04019020040000,7018
0,0,,,11 294,04019020060000,7019
0,0,,,11 3,04019018660000,7522
0,0,,,11 3-1,04019018670000,7523
0,0,,,11 3-2 P&A,04019202940000,7803
0,0,,,11 3-3,04019201280000,7798
0,0,,,11 3-5,04019018680000,7524
0,0,,,11 3-6,04019018690000,7525
0,0,,,11 3-7,04019018700000,7526
0,0,,,11 35,04019018850000,7539
0,0,,,11 36,04019018860000,7540
0,0,,,11 37,04019018870000,7541
0,0,,,11 4,04019018710000,7527
0,0,,,11 41,04019018910000,7542
0,0,,,11 42,04019018920000,7543
0,0,,,11 43,04019018930000,7544
0,0,,,11 44,04019018940000,7545
0,0,,,11 45,04019018950000,7546
0,0,,,11 47,04019018960000,7547
0,0,,,11 48,04019018970000,7548
0,0,,,11 49,04019018980000,7549
0,0,,,11 5,04019018720000,7528
0,0,,,11 50,04019018990000,7550
0,0,,,11 51,04019019000000,7551
0,0,,,11 52,04019019020000,7553
0,0,,,11 54,04019019040000,7554
0,0,,,11 55,04019019050000,7555
0,0,,,11 56,04019019060000,7556
0,0,,,11 57,04019019070000,7557
0,0,,,11 6 P&A,04019018730000,7529
0,0,,,11 6 P&A,04019200500000,7794
0,0,,,11 60,04019019080000,7558
0,0,,,11 61,04019019090000,7559
0,0,,,11 64,04019019100000,7560
0,0,,,11 65,04019019110000,7561
0,0,,,11 68,04019019120000,7562
0,0,,,11 69,04019019130000,7563
0,0,,,11 7,04019018740000,7530
0,0,,,11 72,04019019150000,7564
0,0,,,11 76,04019019170000,7565
0,0,,,11 9,04019019010000,7552
0,0,,,11 90,04019019210000,7566
0,0,,,11 91,04019019220000,7567
0,0,,,11 92,04019019230000,7568
0,0,,,11 93,04019019240000,7569
0,0,,,11 94,04019019250000,7570
0,0,,,11-10S,04029833980000,395
0,0,,,11-10SR,04030230270000,1031
0,0,,,11-2E,04029833940000,109
0,0,,,11-2ER,04030230250000,1019
0,0,,,11-3E,04029833950000,88
0,0,,,11-3ER,04030230260000,1020
0,0,,,11-4E,04029843420000,331
0,0,,,11-5ER,04030212470000,449
0,0,,,11-7E,04029833960000,345
0,0,,,11-7ER,04030284290000,3627
0,0,,,11-8E,04029833970000,391
0,0,,,110,04029454900000,90
0,0,,,111,04029457760000,625
0,0,,,112,04029457770000,95
0,0,,,113,04029457780000,521
0,0,,,113R,04030244530000,1100
0,0,,,114,04029457790000,484
0,0,,,114R,04030230220000,1022
0,0,,,115,04029457800000,237
0,0,,,115R,04030321940000,5148
0,0,,,116,04029457810000,450
0,0,,,117,04029457820000,431
0,0,,,118,04029457830000,626
0,0,,,11A 103,04019256370000,8583
0,0,,,11A 104,04019256380000,8587
0,0,,,11A 105,04019256390000,8586
0,0,,,11A 106,04019256400000,8589
0,0,,,11A 107-11A,04019256410000,8598
0,0,,,11A 108WD,04019255790000,8584
0,0,,,11A 110,04019256420000,8595
0,0,,,11A 111,04019256430000,8596
0,0,,,11A 112,04019256440000,8597
0,0,,,11A 113,04019256970000,8600
0,0,,,11A 114,04019256980000,8603
0,0,,,11A 116,04019258550000,8672
0,0,,,11A 201,04019256450000,8582
0,0,,,12,04029053720000,561
0,0,,,13,04029053730000,562
0,0,,,14-D,04029053740000,340
0,0,,,15,04029053750000,563
0,0,,,15A 501,04030257250000,3505
0,0,,,15A 508,04030500140000,8135
0,0,,,15A 513,04030458020000,5806
0,0,,,15A 515,04030500150000,8145
0,0,,,15A 518,04030458030000,5807
0,0,,,15A 542,04030543220000,8580
0,0,,,15A 543,04030543230000,8581
0,0,,,15A 544,04030543240000,8591
0,0,,,15A 545,04030543250000,8592
0,0,,,15A E31-WD,04030180650000,5077
0,0,,,15A E51-WD,04030269530000,5851
0,0,,,15A M128,04030489610000,8133
0,0,,,15A M130,04030489630000,8342
0,0,,,15A M133,04030530810000,8341
0,0,,,15A M134,04030574240000,8658
0,0,,,15A M135,04030574250000,8659
0,0,,,15A_15-HW,04030044450000,5000
0,0,,,15A_16-HW,04030044440000,5001
0,0,,,15A_17-HW,04030048270000,5002
0,0,,,15A_18-HW,04030048280000,5003
0,0,,,15A_19-HW,04030048290000,5004
0,0,,,15A_20-HW,04030048300000,5005
0,0,,,15A_21-HW,04030053420000,5006
0,0,,,15A_22-HW,04030053430000,5007
0,0,,,15A_23-HW,04030053440000,5008
0,0,,,15A_24-HW,04030053450000,5009
0,0,,,15A_25-HW,04030060180000,5010
0,0,,,15A_26-HW,04030060190000,5285
